;Point,Forecast;Lo,80;Hi,80;Lo,95;Hi,95
46;696,4765438;571,5111882;821,4418994;505,358525;887,5945626
47;725,1180889;554,052308;896,1838699;463,4955537;986,7406242
48;742,7232946;555,9622851;929,484304;457,0969787;1028,34961
49;753,5447521;560,4532756;946,6362286;458,2368224;1048,852682
50;760,1964178;564,3224015;956,0704342;460,6329607;1059,759875
51;764,2850221;567,0988873;961,4711568;462,714853;1065,855191
52;766,7981797;568,9525594;964,6438001;464,2194144;1069,376945
53;768,3429517;570,1468928;966,5390107;465,2282368;1071,457667
54;769,2924825;570,9016496;967,6833155;465,8798865;1072,705079
55;769,8761342;571,3733485;968,3789198;466,2923212;1073,459947
56;770,2348895;571,6662196;968,8035594;466,5503153;1073,919464
57;770,455407;571,8473456;969,0634683;466,7105888;1074,200225
58;770,5909533;571,9590966;969,2228099;466,8097433;1074,372163
59;770,67427;572,0279447;969,3205954;466,8709321;1074,477608
60;770,7254826;572,0703234;969,3806419;466,9086344;1074,542331
61;770,7569617;572,0963949;969,4175285;466,9318434;1074,58208
62;770,776311;572,112429;969,4401931;466,9461224;1074,6065
63;770,7882046;572,1222878;969,4541213;466,9549042;1074,621505
64;770,7955152;572,1283491;969,4626814;466,960304;1074,630726
65;770,8000089;572,1320752;969,4679426;466,9636238;1074,636394
